DatasourceType;IP;Username;Password;Nickname;NSX_ENABLE_CENTRAL_CLI;NSX_ENABLE_IPFIX;NSX_VCENTER_NICKNAME;CISCO_SWITCHTYPE;DELL_SWITCHTYPE;SnmpCommunity
vcenter;172.16.0.11;administrator@vsphere.local;MyPassword;vcenter.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;""
nsxv;172.16.0.11;admin;MyPassword;nsx.lab.local;TRUE;TRUE;vcenter.lab.local;onlyusedforCisco;onlyusedforDell;""
ciscoswitch;172.16.0.11;admin;MyPassword;cat3k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;CATALYST_3000;onlyusedforDell;public
ciscoswitch;172.16.0.11;admin;MyPassword;cat45k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;CATALYST_4500;onlyusedforDell;public
ciscoswitch;172.16.0.11;admin;MyPassword;cat65k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;CATALYST_6500;onlyusedforDell;public
ciscoswitch;172.16.0.11;admin;MyPassword;n5k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;NEXUS_5K;onlyusedforDell;public
ciscoswitch;172.16.0.11;admin;MyPassword;n7k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;NEXUS_7K;onlyusedforDell;public
ciscoswitch;172.16.0.11;admin;MyPassword;n9k.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;NEXUS_9K;onlyusedforDell;public
aristaswitch;172.16.0.11;admin;MyPassword;arista.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;public
dellswitch;172.16.0.11;admin;MyPassword;dellf10mlx10.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;FORCE_10_MXL_10;public
dellswitch;172.16.0.11;admin;MyPassword;dellp8024.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;POWERCONNECT_8024;public
dellswitch;172.16.0.11;admin;MyPassword;dell54048.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;S4048;public
dellswitch;172.16.0.11;admin;MyPassword;dell29100.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;Z9100;public
dellswitch;172.16.0.11;admin;MyPassword;dell56000.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;S6000;public
brocadeswitch;172.16.0.11;admin;MyPassword;brocade.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;public
juniperswitch;172.16.0.11;admin;MyPassword;juniper.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;public
ciscoucs;172.16.0.11;admin;MyPassword;ucs.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;public
hponeview;172.16.0.11;admin;MyPassword;hponeview.prod.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;
hpvcmanager;172.16.0.11;admin;MyPassword;hpvc.lab.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;""
checkpointfirewall;172.16.0.11;admin;MyPassword;checkpoint.prod.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;""
panfirewall;172.16.0.11;admin;MyPassword;pan.prod.local;onlyusedforNSX;onlyusedforNSX;onlyusedforNSX;onlyusedforCisco;onlyusedforDell;""
